state_code,state_name_english,state_census2011_code,district_code,district_name_english,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_census2011_code,state_or_ut
8,Rajasthan,8.0,783,Jaipur (Gramin),,7140,Aandhi,0.0,S
24,Gujarat,24.0,449,Kachchh,468.0,3728,Abdasa,3728.0,S
22,Chhattisgarh,22.0,387,Raipur,410.0,3331,Abhanpur,3331.0,S
24,Gujarat,24.0,459,Surat,492.0,6518,Adajan,0.0,S
21,Odisha,21.0,353,Gajapati,389.0,3100,Adava,3100.0,S
36,Telangana,0.0,514,Nalgonda,539.0,6304,Adavidevulapalli,0.0,S
36,Telangana,0.0,697,Yadadri Bhuvanagiri,0.0,6310,Adda Guduru,0.0,S
23,Madhya Pradesh,23.0,411,Jabalpur,451.0,7024,Adhartal,0.0,S
20,Jharkhand,20.0,341,Saraikela Kharsawan,369.0,2752,Adityapur(Gamharia),2752.0,S
28,Andhra Pradesh,28.0,511,Kurnool,552.0,5271,Adoni,5271.0,S
18,Assam,18.0,285,Dhubri,301.0,2006,Agamoni,2006.0,S
21,Odisha,21.0,348,Bhadrak,378.0,2910,Agarpada,2910.0,S
24,Gujarat,24.0,444,Dangs,489.0,3921,Ahwa,3921.0,S
22,Chhattisgarh,22.0,379,Janjgir-Champa,405.0,3278,Akaltara,3278.0,S
9,Uttar Pradesh,9.0,121,Ambedkar Nagar,178.0,910,Akbarpur,910.0,S
1,Jammu And Kashmir,1.0,5,Jammu,21.0,78,Akhnoor,78.0,U
27,Maharashtra,27.0,467,Akola,501.0,3991,Akola,3991.0,S
13,Nagaland,13.0,251,Zunheboto,263.0,1768,Akuluto,1768.0,S
33,Tamil Nadu,33.0,568,Chennai,603.0,5704,Alandur,5704.0,S
33,Tamil Nadu,33.0,581,Perambalur,615.0,5951,Alathur,0.0,S
9,Uttar Pradesh,9.0,120,Prayagraj,175.0,890,Allahabad,890.0,S
8,Rajasthan,8.0,87,Alwar,104.0,499,Alwar,499.0,S
27,Maharashtra,27.0,478,Jalgaon,499.0,3969,Amalner,3969.0,S
36,Telangana,0.0,518,Ranga Reddy,537.0,4563,Amangal,4563.0,S
10,Bihar,10.0,190,Banka,225.0,1346,Amarpur,1346.0,S
21,Odisha,21.0,370,Rayagada,396.0,3172,Ambadala,3172.0,S
16,Tripura,16.0,269,Dhalai,291.0,6697,Ambassa,0.0,S
33,Tamil Nadu,33.0,568,Chennai,603.0,5700,Ambattur,5700.0,S
27,Maharashtra,27.0,490,Pune,521.0,4188,Ambegaon,4188.0,S
27,Maharashtra,27.0,470,Beed,523.0,4225,Ambejogai,4225.0,S
